videoname,start_time,end_time,duration_minutes,time_range,split,original_count,processed_sum,cumilative_sum
D06_20250807000001.avi,00:00:01,00:04:38,4.62,00:00 - 00:30,0,7,6,6
D06_20250807000444.avi,00:04:44,00:07:20,2.61,00:00 - 00:30,0,0,0,6
D06_20250807000759.avi,00:07:59,00:15:12,7.22,00:00 - 00:30,0,3,2,8
D06_20250807001647.avi,00:16:47,00:17:54,1.13,00:00 - 00:30,0,0,0,8
D06_20250807001754.avi,00:17:54,00:27:10,9.28,00:00 - 00:30,0,7,6,14
D06_20250807002732.avi,00:27:32,00:37:22,9.84,00:00 - 00:30,0,9,1,15
D06_20250807002732.avi,00:27:32,00:37:22,9.84,00:30 - 01:00,1,9,6,21
D06_20250807003725.avi,00:37:25,00:48:08,10.73,00:30 - 01:00,1,5,3,24
D06_20250807004812.avi,00:48:12,00:53:29,5.29,00:30 - 01:00,1,3,2,26
D06_20250807005350.avi,00:53:50,00:56:00,2.18,00:30 - 01:00,1,0,0,26
D06_20250807005602.avi,00:56:02,00:57:37,1.59,00:30 - 01:00,1,1,0,26
D06_20250807005845.avi,00:58:45,00:59:54,1.16,00:30 - 01:00,1,0,0,26
D06_20250807010048.avi,01:00:48,01:03:06,2.30,01:00 - 01:30,2,0,0,26
D06_20250807010305.avi,01:03:05,01:09:57,6.87,01:00 - 01:30,2,6,6,32
D06_20250807011015.avi,01:10:15,01:12:57,2.70,01:00 - 01:30,2,1,0,32
D06_20250807011256.avi,01:12:56,01:16:02,3.10,01:00 - 01:30,2,3,3,35
D06_20250807011603.avi,01:16:03,01:21:24,5.35,01:00 - 01:30,2,2,1,36
D06_20250807012320.avi,01:23:20,01:26:33,3.22,01:00 - 01:30,2,2,1,37
D06_20250807012717.avi,01:27:17,01:39:41,12.41,01:00 - 01:30,2,5,0,37
D06_20250807012717.avi,01:27:17,01:39:41,12.41,01:30 - 02:00,3,5,3,40
D06_20250807013948.avi,01:39:48,01:52:39,12.85,01:30 - 02:00,3,9,9,49
D06_20250807015635.avi,01:56:35,01:59:50,3.26,01:30 - 02:00,3,2,1,50
D06_20250807020044.avi,02:00:44,02:01:54,1.18,02:00 - 02:30,4,0,0,50
D06_20250807020154.avi,02:01:54,02:08:42,6.80,02:00 - 02:30,4,6,7,57
D06_20250807020906.avi,02:09:06,02:13:37,4.52,02:00 - 02:30,4,2,2,59
D06_20250807021447.avi,02:14:47,02:15:53,1.11,02:00 - 02:30,4,0,0,59
D06_20250807021644.avi,02:16:44,02:19:36,2.87,02:00 - 02:30,4,3,3,62
D06_20250807021938.avi,02:19:38,02:21:12,1.58,02:00 - 02:30,4,0,0,62
D06_20250807022245.avi,02:22:45,02:25:39,2.90,02:00 - 02:30,4,1,1,63
D06_20250807022537.avi,02:25:37,02:28:55,3.30,02:00 - 02:30,4,4,5,68
D06_20250807022958.avi,02:29:58,02:32:12,2.24,02:30 - 03:00,5,1,0,68
D06_20250807023231.avi,02:32:31,02:37:07,4.61,02:30 - 03:00,5,7,5,73
D06_20250807023708.avi,02:37:08,02:40:12,3.08,02:30 - 03:00,5,2,1,74
D06_20250807024850.avi,02:48:50,02:54:16,5.44,02:30 - 03:00,5,7,5,79
D06_20250807025437.avi,02:54:37,02:59:55,5.31,02:30 - 03:00,5,2,1,80
D06_20250807030614.avi,03:06:14,03:09:20,3.11,03:00 - 03:30,6,1,0,80
D06_20250807031042.avi,03:10:42,03:11:52,1.18,03:00 - 03:30,6,0,0,80
D06_20250807031157.avi,03:11:57,03:18:55,6.98,03:00 - 03:30,6,2,2,82
D06_20250807032146.avi,03:21:46,03:25:20,3.57,03:00 - 03:30,6,2,2,84
D06_20250807032605.avi,03:26:05,03:41:59,15.90,03:00 - 03:30,6,18,6,90
D06_20250807032605.avi,03:26:05,03:41:59,15.90,03:30 - 04:00,7,18,9,99
D06_20250807034817.avi,03:48:17,03:50:27,2.18,03:30 - 04:00,7,0,0,99
D06_20250807035522.avi,03:55:22,03:57:05,1.73,03:30 - 04:00,7,1,0,99
D06_20250807035932.avi,03:59:32,04:03:51,4.32,04:00 - 04:30,8,2,2,101
D06_20250807040358.avi,04:03:58,04:06:36,2.64,04:00 - 04:30,8,1,0,101
D06_20250807040745.avi,04:07:45,04:08:54,1.16,04:00 - 04:30,8,0,0,101
D06_20250807040907.avi,04:09:07,04:12:14,3.13,04:00 - 04:30,8,1,0,101
D06_20250807041314.avi,04:13:14,04:16:15,3.03,04:00 - 04:30,8,1,0,101
D06_20250807041745.avi,04:17:45,04:18:52,1.13,04:00 - 04:30,8,0,0,101
D06_20250807042200.avi,04:22:00,04:24:04,2.07,04:00 - 04:30,8,1,0,101
D06_20250807042436.avi,04:24:36,04:29:50,5.24,04:00 - 04:30,8,2,2,103
D06_20250807042951.avi,04:29:51,04:32:35,2.74,04:00 - 04:30,8,0,0,103
D06_20250807043348.avi,04:33:48,04:34:54,1.11,04:30 - 05:00,9,0,0,103
D06_20250807043758.avi,04:37:58,04:40:35,2.63,04:30 - 05:00,9,1,0,103
D06_20250807044035.avi,04:40:35,04:49:44,9.16,04:30 - 05:00,9,10,6,109
D06_20250807045421.avi,04:54:21,05:04:07,9.78,04:30 - 05:00,9,11,4,113
D06_20250807045421.avi,04:54:21,05:04:07,9.78,05:00 - 05:30,10,11,8,121
D06_20250807050802.avi,05:08:02,05:11:43,3.69,05:00 - 05:30,10,1,0,121
D06_20250807051249.avi,05:12:49,05:14:49,2.00,05:00 - 05:30,10,1,0,121
D06_20250807051611.avi,05:16:11,05:18:54,2.73,05:00 - 05:30,10,1,0,121
D06_20250807051957.avi,05:19:57,05:22:07,2.18,05:00 - 05:30,10,2,2,123
D06_20250807052346.avi,05:23:46,05:27:16,3.51,05:00 - 05:30,10,0,0,123
D06_20250807052930.avi,05:29:30,05:33:43,4.22,05:00 - 05:30,10,5,0,123
D06_20250807052930.avi,05:29:30,05:33:43,4.22,05:30 - 06:00,11,5,2,125
D06_20250807053445.avi,05:34:45,05:35:55,1.17,05:30 - 06:00,11,0,0,125
D06_20250807053854.avi,05:38:54,05:41:42,2.81,05:30 - 06:00,11,2,1,126
D06_20250807054408.avi,05:44:08,05:51:17,7.15,05:30 - 06:00,11,5,3,129
D06_20250807055246.avi,05:52:46,05:53:53,1.13,05:30 - 06:00,11,0,0,129
D06_20250807055354.avi,05:53:54,05:55:16,1.38,05:30 - 06:00,11,1,0,129
D06_20250807055755.avi,05:57:55,06:00:34,2.65,05:30 - 06:00,11,1,0,129
D06_20250807060034.avi,06:00:34,06:36:00,35.44,06:00 - 06:30,12,37,39,168
D06_20250807060034.avi,06:00:34,06:36:00,35.44,06:30 - 07:00,13,37,4,172
D06_20250807063620.avi,06:36:20,06:39:14,2.90,06:30 - 07:00,13,4,2,174
D06_20250807064013.avi,06:40:13,06:58:21,18.14,06:30 - 07:00,13,36,29,203
D06_20250807065907.avi,06:59:07,07:30:40,31.55,06:30 - 07:00,13,38,0,203
D06_20250807065907.avi,06:59:07,07:30:40,31.55,07:00 - 07:30,14,38,28,231
D06_20250807065907.avi,06:59:07,07:30:40,31.55,07:30 - 08:00,15,38,0,231
D06_20250807073546.avi,07:35:46,07:43:51,8.09,07:30 - 08:00,15,6,8,239
D06_20250807074401.avi,07:44:01,07:49:34,5.56,07:30 - 08:00,15,4,5,244
D06_20250807074937.avi,07:49:37,08:01:08,11.52,07:30 - 08:00,15,8,9,253
D06_20250807074937.avi,07:49:37,08:01:08,11.52,08:00 - 08:30,16,8,1,254
D06_20250807080347.avi,08:03:47,08:09:24,5.62,08:00 - 08:30,16,3,3,257
D06_20250807081046.avi,08:10:46,08:11:53,1.12,08:00 - 08:30,16,0,0,257
D06_20250807081150.avi,08:11:50,08:30:29,18.65,08:00 - 08:30,16,15,18,275
D06_20250807083140.avi,08:31:40,08:36:02,4.37,08:30 - 09:00,17,0,0,275
D06_20250807083602.avi,08:36:02,09:10:02,34.01,08:30 - 09:00,17,49,30,305
D06_20250807083602.avi,08:36:02,09:10:02,34.01,09:00 - 09:30,18,49,18,323
D06_20250807091021.avi,09:10:21,10:50:27,100.10,09:00 - 09:30,18,256,66,389
D06_20250807091021.avi,09:10:21,10:50:27,100.10,09:30 - 10:00,19,256,57,446
D06_20250807091021.avi,09:10:21,10:50:27,100.10,10:00 - 10:30,20,256,94,540
D06_20250807091021.avi,09:10:21,10:50:27,100.10,10:30 - 11:00,21,256,39,579
D06_20250807105123.avi,10:51:23,12:22:11,90.81,10:30 - 11:00,21,331,24,603
D06_20250807105123.avi,10:51:23,12:22:11,90.81,11:00 - 11:30,22,331,117,720
D06_20250807105123.avi,10:51:23,12:22:11,90.81,11:30 - 12:00,23,331,101,821
D06_20250807105123.avi,10:51:23,12:22:11,90.81,12:00 - 12:30,24,331,99,920
D06_20250807122257.avi,12:22:57,13:47:29,84.54,12:00 - 12:30,24,467,47,967
D06_20250807122257.avi,12:22:57,13:47:29,84.54,12:30 - 13:00,25,467,160,1127
D06_20250807122257.avi,12:22:57,13:47:29,84.54,13:00 - 13:30,26,467,157,1284
D06_20250807122257.avi,12:22:57,13:47:29,84.54,13:30 - 14:00,27,467,88,1372
D06_20250807134816.avi,13:48:16,15:10:56,82.67,13:30 - 14:00,27,447,56,1428
D06_20250807134816.avi,13:48:16,15:10:56,82.67,14:00 - 14:30,28,447,143,1571
D06_20250807134816.avi,13:48:16,15:10:56,82.67,14:30 - 15:00,29,447,182,1753
D06_20250807134816.avi,13:48:16,15:10:56,82.67,15:00 - 15:30,30,447,81,1834
D06_20250807151141.avi,15:11:41,16:38:32,86.85,15:00 - 15:30,30,406,118,1952
D06_20250807151141.avi,15:11:41,16:38:32,86.85,15:30 - 16:00,31,406,123,2075
D06_20250807151141.avi,15:11:41,16:38:32,86.85,16:00 - 16:30,32,406,87,2162
D06_20250807151141.avi,15:11:41,16:38:32,86.85,16:30 - 17:00,33,406,43,2205
D06_20250807163921.avi,16:39:21,18:05:22,86.02,16:30 - 17:00,33,375,99,2304
D06_20250807163921.avi,16:39:21,18:05:22,86.02,17:00 - 17:30,34,375,99,2403
D06_20250807163921.avi,16:39:21,18:05:22,86.02,17:30 - 18:00,35,375,162,2565
D06_20250807163921.avi,16:39:21,18:05:22,86.02,18:00 - 18:30,36,375,30,2595
D06_20250807180609.avi,18:06:09,19:33:59,87.84,18:00 - 18:30,36,355,123,2718
D06_20250807180609.avi,18:06:09,19:33:59,87.84,18:30 - 19:00,37,355,112,2830
D06_20250807180609.avi,18:06:09,19:33:59,87.84,19:00 - 19:30,38,355,102,2932
D06_20250807180609.avi,18:06:09,19:33:59,87.84,19:30 - 20:00,39,355,14,2946
D06_20250807193448.avi,19:34:48,21:16:36,101.81,19:30 - 20:00,39,266,60,3006
D06_20250807193448.avi,19:34:48,21:16:36,101.81,20:00 - 20:30,40,266,62,3068
D06_20250807193448.avi,19:34:48,21:16:36,101.81,20:30 - 21:00,41,266,95,3163
D06_20250807193448.avi,19:34:48,21:16:36,101.81,21:00 - 21:30,42,266,35,3198
D06_20250807211732.avi,21:17:32,22:20:05,62.56,21:00 - 21:30,42,153,25,3223
D06_20250807211732.avi,21:17:32,22:20:05,62.56,21:30 - 22:00,43,153,85,3308
D06_20250807211732.avi,21:17:32,22:20:05,62.56,22:00 - 22:30,44,153,37,3345
D06_20250807222146.avi,22:21:46,22:29:28,7.70,22:00 - 22:30,44,6,4,3349
D06_20250807222931.avi,22:29:31,22:47:45,18.24,22:00 - 22:30,44,19,0,3349
D06_20250807222931.avi,22:29:31,22:47:45,18.24,22:30 - 23:00,45,19,26,3375
D06_20250807224757.avi,22:47:57,22:53:07,5.18,22:30 - 23:00,45,4,5,3380
D06_20250807225442.avi,22:54:42,22:55:54,1.21,22:30 - 23:00,45,0,0,3380
D06_20250807225554.avi,22:55:54,23:19:52,23.97,22:30 - 23:00,45,28,7,3387
D06_20250807225554.avi,22:55:54,23:19:52,23.97,23:00 - 23:30,46,28,17,3404
D06_20250807232004.avi,23:20:04,23:22:19,2.25,23:00 - 23:30,46,0,0,3404
D06_20250807232218.avi,23:22:18,23:26:36,4.30,23:00 - 23:30,46,3,1,3405
D06_20250807233227.avi,23:32:27,23:33:36,1.15,23:30 - 00:00,47,6,7,3412
D06_20250807233337.avi,23:33:37,23:37:08,3.52,23:30 - 00:00,47,2,1,3413
D06_20250807233706.avi,23:37:06,23:40:49,3.72,23:30 - 00:00,47,1,0,3413
D06_20250807234113.avi,23:41:13,23:44:17,3.07,23:30 - 00:00,47,1,0,3413
D06_20250807234443.avi,23:44:43,23:56:28,11.76,23:30 - 00:00,47,13,15,3428
D06_20250807235701.avi,23:57:01,00:00:01,3.00,23:30 - 00:00,47,1,0,3428
