videoname,start_time,end_time,duration_minutes,time_range,split,original_count,processed_sum,cumilative_sum
D06_20250806000043.avi,00:00:43,00:02:41,1.97,00:00 - 00:30,0,1,0,0
D06_20250806000312.avi,00:03:12,00:10:35,7.39,00:00 - 00:30,0,8,4,4
D06_20250806001037.avi,00:10:37,00:17:16,6.66,00:00 - 00:30,0,4,2,6
D06_20250806001922.avi,00:19:22,00:27:05,7.72,00:00 - 00:30,0,13,8,14
D06_20250806002847.avi,00:28:47,00:32:24,3.62,00:30 - 01:00,1,1,0,14
D06_20250806003229.avi,00:32:29,00:49:39,17.17,00:30 - 01:00,1,9,13,27
D06_20250806004948.avi,00:49:48,01:02:31,12.73,00:30 - 01:00,1,7,8,35
D06_20250806004948.avi,00:49:48,01:02:31,12.73,01:00 - 01:30,2,7,0,35
D06_20250806010238.avi,01:02:38,01:05:35,2.95,01:00 - 01:30,2,1,0,35
D06_20250806010649.avi,01:06:49,01:14:55,8.10,01:00 - 01:30,2,8,9,44
D06_20250806011458.avi,01:14:58,01:20:34,5.61,01:00 - 01:30,2,3,2,46
D06_20250806012034.avi,01:20:34,01:35:27,14.89,01:00 - 01:30,2,5,2,48
D06_20250806012034.avi,01:20:34,01:35:27,14.89,01:30 - 02:00,3,5,1,49
D06_20250806013647.avi,01:36:47,01:44:03,7.28,01:30 - 02:00,3,6,4,53
D06_20250806014548.avi,01:45:48,01:57:47,11.99,01:30 - 02:00,3,13,10,63
D06_20250806020118.avi,02:01:18,02:07:15,5.95,02:00 - 02:30,4,8,7,70
D06_20250806020819.avi,02:08:19,02:12:19,4.00,02:00 - 02:30,4,1,0,70
D06_20250806021218.avi,02:12:18,02:15:02,2.74,02:00 - 02:30,4,1,0,70
D06_20250806021502.avi,02:15:02,02:18:26,3.41,02:00 - 02:30,4,2,1,71
D06_20250806021826.avi,02:18:26,02:22:59,4.56,02:00 - 02:30,4,3,2,73
D06_20250806022300.avi,02:23:00,02:30:49,7.82,02:00 - 02:30,4,6,4,77
D06_20250806022300.avi,02:23:00,02:30:49,7.82,02:30 - 03:00,5,6,0,77
D06_20250806023105.avi,02:31:05,02:38:32,7.45,02:30 - 03:00,5,6,6,83
D06_20250806025152.avi,02:51:52,02:53:53,2.03,02:30 - 03:00,5,0,0,83
D06_20250806025353.avi,02:53:53,03:01:57,8.08,02:30 - 03:00,5,7,4,87
D06_20250806025353.avi,02:53:53,03:01:57,8.08,03:00 - 03:30,6,7,1,88
D06_20250806030217.avi,03:02:17,03:05:32,3.25,03:00 - 03:30,6,3,1,89
D06_20250806031046.avi,03:10:46,03:13:08,2.38,03:00 - 03:30,6,0,0,89
D06_20250806031630.avi,03:16:30,03:21:08,4.64,03:00 - 03:30,6,2,1,90
D06_20250806032133.avi,03:21:33,03:24:40,3.13,03:00 - 03:30,6,0,0,90
D06_20250806032605.avi,03:26:05,03:31:24,5.33,03:00 - 03:30,6,4,1,91
D06_20250806032605.avi,03:26:05,03:31:24,5.33,03:30 - 04:00,7,4,2,93
D06_20250806033602.avi,03:36:02,03:40:01,3.99,03:30 - 04:00,7,1,2,95
D06_20250806035320.avi,03:53:20,03:55:47,2.46,03:30 - 04:00,7,0,0,95
D06_20250806040443.avi,04:04:43,04:10:14,5.53,04:00 - 04:30,8,5,6,101
D06_20250806041027.avi,04:10:27,04:15:07,4.67,04:00 - 04:30,8,2,2,103
D06_20250806041506.avi,04:15:06,04:17:00,1.90,04:00 - 04:30,8,0,0,103
D06_20250806041701.avi,04:17:01,04:20:16,3.25,04:00 - 04:30,8,1,0,103
D06_20250806042101.avi,04:21:01,04:24:01,3.01,04:00 - 04:30,8,0,0,103
D06_20250806042717.avi,04:27:17,04:38:34,11.29,04:00 - 04:30,8,9,2,105
D06_20250806042717.avi,04:27:17,04:38:34,11.29,04:30 - 05:00,9,9,5,110
D06_20250806043839.avi,04:38:39,04:42:43,4.08,04:30 - 05:00,9,5,4,114
D06_20250806044244.avi,04:42:44,04:48:49,6.09,04:30 - 05:00,9,8,5,119
D06_20250806044948.avi,04:49:48,04:50:54,1.11,04:30 - 05:00,9,0,0,119
D06_20250806045052.avi,04:50:52,04:55:55,5.06,04:30 - 05:00,9,3,1,120
D06_20250806050800.avi,05:08:00,05:10:49,2.82,05:00 - 05:30,10,1,1,121
D06_20250806051136.avi,05:11:36,05:14:14,2.64,05:00 - 05:30,10,1,1,122
D06_20250806051944.avi,05:19:44,05:23:24,3.68,05:00 - 05:30,10,3,4,126
D06_20250806052448.avi,05:24:48,05:28:35,3.79,05:00 - 05:30,10,1,1,127
D06_20250806053225.avi,05:32:25,05:38:45,6.34,05:30 - 06:00,11,4,2,129
D06_20250806054112.avi,05:41:12,05:48:36,7.40,05:30 - 06:00,11,2,1,130
D06_20250806054907.avi,05:49:07,05:54:16,5.16,05:30 - 06:00,11,3,2,132
D06_20250806055443.avi,05:54:43,05:58:44,4.02,05:30 - 06:00,11,2,1,133
D06_20250806055932.avi,05:59:32,06:00:54,1.37,05:30 - 06:00,11,0,0,133
D06_20250806060206.avi,06:02:06,06:12:28,10.37,06:00 - 06:30,12,9,14,147
D06_20250806061233.avi,06:12:33,06:15:26,2.89,06:00 - 06:30,12,1,1,148
D06_20250806061525.avi,06:15:25,06:31:44,16.32,06:00 - 06:30,12,24,36,184
D06_20250806061525.avi,06:15:25,06:31:44,16.32,06:30 - 07:00,13,24,1,185
D06_20250806063158.avi,06:31:58,06:33:01,1.05,06:30 - 07:00,13,0,0,185
D06_20250806063301.avi,06:33:01,07:22:03,49.04,06:30 - 07:00,13,102,34,219
D06_20250806063301.avi,06:33:01,07:22:03,49.04,07:00 - 07:30,14,102,21,240
D06_20250806072229.avi,07:22:29,07:27:56,5.46,07:00 - 07:30,14,5,1,241
D06_20250806072817.avi,07:28:17,07:35:28,7.19,07:30 - 08:00,15,1,3,244
D06_20250806073708.avi,07:37:08,07:46:11,9.05,07:30 - 08:00,15,3,9,253
D06_20250806074625.avi,07:46:25,07:53:43,7.30,07:30 - 08:00,15,4,13,266
D06_20250806075359.avi,07:53:59,08:01:36,7.62,07:30 - 08:00,15,5,13,279
D06_20250806075359.avi,07:53:59,08:01:36,7.62,08:00 - 08:30,16,5,1,280
D06_20250806080151.avi,08:01:51,08:05:09,3.30,08:00 - 08:30,16,1,1,281
