hour,hour_range,hourly_count,cumulative_hourly_count
0,00:00 - 01:00,42,42
1,01:00 - 02:00,37,79
2,02:00 - 03:00,32,111
3,03:00 - 04:00,12,123
4,04:00 - 05:00,33,156
5,05:00 - 06:00,17,173
6,06:00 - 07:00,90,263
7,07:00 - 08:00,63,326
8,08:00 - 09:00,49,375
9,09:00 - 10:00,125,500
10,10:00 - 11:00,154,654
11,11:00 - 12:00,232,886
12,12:00 - 13:00,285,1171
13,13:00 - 14:00,330,1501
14,14:00 - 15:00,376,1877
15,15:00 - 16:00,157,2034
16,16:00 - 17:00,249,2283
17,17:00 - 18:00,304,2587
18,18:00 - 19:00,244,2831
19,19:00 - 20:00,258,3089
20,20:00 - 21:00,196,3285
21,21:00 - 22:00,165,3450
22,22:00 - 23:00,121,3571
23,23:00 - 00:00,50,3621
