hour,hour_range,hourly_count,cumulative_hourly_count
0,00:00 - 01:00,28,28
1,01:00 - 02:00,37,65
2,02:00 - 03:00,23,88
3,03:00 - 04:00,20,108
4,04:00 - 05:00,21,129
5,05:00 - 06:00,18,147
6,06:00 - 07:00,53,200
7,07:00 - 08:00,47,247
8,08:00 - 09:00,43,290
9,09:00 - 10:00,43,333
10,10:00 - 11:00,50,383
11,11:00 - 12:00,41,424
12,12:00 - 13:00,45,469
13,13:00 - 14:00,74,543
14,14:00 - 15:00,81,624
15,15:00 - 16:00,82,706
16,16:00 - 17:00,30,736
17,17:00 - 18:00,47,783
18,18:00 - 19:00,56,839
19,19:00 - 20:00,16,855
20,20:00 - 21:00,33,888
21,21:00 - 22:00,33,921
22,22:00 - 23:00,9,930
23,23:00 - 00:00,18,948
