videoname,start_time,end_time,duration_minutes,time_range,split,original_count,processed_sum,cumilative_sum
D06_20250809000126.avi,00:01:26,00:03:47,2.35,00:00 - 00:30,0,1,1,1
D06_20250809000706.avi,00:07:06,00:10:25,3.33,00:00 - 00:30,0,2,2,3
D06_20250809001107.avi,00:11:07,00:14:04,2.96,00:00 - 00:30,0,0,0,3
D06_20250809001404.avi,00:14:04,00:17:12,3.14,00:00 - 00:30,0,1,1,4
D06_20250809002001.avi,00:20:01,00:28:58,8.96,00:00 - 00:30,0,5,6,10
D06_20250809003003.avi,00:30:03,00:33:45,3.70,00:30 - 01:00,1,4,3,13
D06_20250809003445.avi,00:34:45,00:35:52,1.13,00:30 - 01:00,1,0,0,13
D06_20250809003553.avi,00:35:53,00:45:01,9.14,00:30 - 01:00,1,9,7,20
D06_20250809004645.avi,00:46:45,00:47:53,1.14,00:30 - 01:00,1,0,0,20
D06_20250809005030.avi,00:50:30,00:53:13,2.72,00:30 - 01:00,1,1,0,20
D06_20250809005314.avi,00:53:14,01:00:35,7.36,00:30 - 01:00,1,5,4,24
D06_20250809010037.avi,01:00:37,01:02:13,1.60,01:00 - 01:30,2,1,0,24
D06_20250809010225.avi,01:02:25,01:09:36,7.19,01:00 - 01:30,2,7,4,28
D06_20250809011051.avi,01:10:51,01:12:42,1.86,01:00 - 01:30,2,1,0,28
D06_20250809011244.avi,01:12:44,01:22:33,9.82,01:00 - 01:30,2,4,2,30
D06_20250809012237.avi,01:22:37,01:32:16,9.66,01:00 - 01:30,2,7,3,33
D06_20250809012237.avi,01:22:37,01:32:16,9.66,01:30 - 02:00,3,7,1,34
D06_20250809013219.avi,01:32:19,01:41:53,9.57,01:30 - 02:00,3,5,5,39
D06_20250809014228.avi,01:42:28,01:46:07,3.66,01:30 - 02:00,3,3,2,41
D06_20250809014610.avi,01:46:10,01:51:07,4.96,01:30 - 02:00,3,2,1,42
D06_20250809015237.avi,01:52:37,01:56:52,4.26,01:30 - 02:00,3,4,4,46
D06_20250809015653.avi,01:56:53,02:04:36,7.73,01:30 - 02:00,3,7,2,48
D06_20250809015653.avi,01:56:53,02:04:36,7.73,02:00 - 02:30,4,7,2,50
D06_20250809020440.avi,02:04:40,02:06:39,1.99,02:00 - 02:30,4,0,0,50
D06_20250809020913.avi,02:09:13,02:12:56,3.73,02:00 - 02:30,4,4,2,52
D06_20250809021256.avi,02:12:56,02:17:02,4.11,02:00 - 02:30,4,6,3,55
D06_20250809021750.avi,02:17:50,02:20:58,3.14,02:00 - 02:30,4,0,0,55
D06_20250809022229.avi,02:22:29,02:29:23,6.91,02:00 - 02:30,4,2,0,55
D06_20250809023351.avi,02:33:51,02:38:06,4.25,02:30 - 03:00,5,2,2,57
D06_20250809023807.avi,02:38:07,02:40:35,2.47,02:30 - 03:00,5,2,2,59
D06_20250809025213.avi,02:52:13,02:56:37,4.40,02:30 - 03:00,5,2,2,61
D06_20250809025652.avi,02:56:52,02:59:23,2.52,02:30 - 03:00,5,1,1,62
D06_20250809030333.avi,03:03:33,03:10:40,7.13,03:00 - 03:30,6,2,0,62
D06_20250809031607.avi,03:16:07,03:24:14,8.12,03:00 - 03:30,6,15,9,71
D06_20250809033142.avi,03:31:42,03:35:19,3.62,03:30 - 04:00,7,2,5,76
D06_20250809034406.avi,03:44:06,03:46:45,2.65,03:30 - 04:00,7,0,0,76
D06_20250809035210.avi,03:52:10,03:54:48,2.64,03:30 - 04:00,7,1,2,78
D06_20250809035544.avi,03:55:44,03:56:51,1.13,03:30 - 04:00,7,0,0,78
D06_20250809041859.avi,04:18:59,04:23:07,4.14,04:00 - 04:30,8,14,8,86
D06_20250809042306.avi,04:23:06,04:28:03,4.95,04:00 - 04:30,8,3,1,87
D06_20250809043100.avi,04:31:00,04:33:32,2.54,04:30 - 05:00,9,0,0,87
D06_20250809043909.avi,04:39:09,04:42:16,3.12,04:30 - 05:00,9,1,2,89
D06_20250809044427.avi,04:44:27,04:46:45,2.30,04:30 - 05:00,9,1,2,91
D06_20250809044745.avi,04:47:45,04:48:54,1.15,04:30 - 05:00,9,0,0,91
D06_20250809044903.avi,04:49:03,04:51:48,2.76,04:30 - 05:00,9,1,2,93
D06_20250809045733.avi,04:57:33,04:59:41,2.14,04:30 - 05:00,9,1,2,95
D06_20250809050046.avi,05:00:46,05:01:52,1.11,05:00 - 05:30,10,0,0,95
D06_20250809050259.avi,05:02:59,05:05:35,2.60,05:00 - 05:30,10,1,1,96
D06_20250809050658.avi,05:06:58,05:12:08,5.17,05:00 - 05:30,10,5,5,101
D06_20250809051244.avi,05:12:44,05:15:53,3.16,05:00 - 05:30,10,1,1,102
D06_20250809051826.avi,05:18:26,05:20:45,2.32,05:00 - 05:30,10,1,1,103
D06_20250809052043.avi,05:20:43,05:24:56,4.22,05:00 - 05:30,10,2,2,105
D06_20250809052851.avi,05:28:51,05:32:04,3.23,05:30 - 06:00,11,1,1,106
D06_20250809053206.avi,05:32:06,05:34:35,2.49,05:30 - 06:00,11,1,1,107
D06_20250809054801.avi,05:48:01,05:50:46,2.75,05:30 - 06:00,11,2,2,109
D06_20250809055146.avi,05:51:46,05:52:53,1.12,05:30 - 06:00,11,0,0,109
D06_20250809055609.avi,05:56:09,06:10:25,14.28,05:30 - 06:00,11,16,4,113
D06_20250809055609.avi,05:56:09,06:10:25,14.28,06:00 - 06:30,12,16,13,126
D06_20250809061033.avi,06:10:33,06:12:43,2.18,06:00 - 06:30,12,0,0,126
D06_20250809061243.avi,06:12:43,06:21:14,8.53,06:00 - 06:30,12,5,5,131
D06_20250809062120.avi,06:21:20,06:26:53,5.56,06:00 - 06:30,12,4,4,135
D06_20250809062656.avi,06:26:56,06:35:15,8.33,06:00 - 06:30,12,3,0,135
D06_20250809062656.avi,06:26:56,06:35:15,8.33,06:30 - 07:00,13,3,1,136
D06_20250809063551.avi,06:35:51,06:38:18,2.46,06:30 - 07:00,13,1,0,136
D06_20250809063819.avi,06:38:19,06:41:04,2.75,06:30 - 07:00,13,1,0,136
D06_20250809064148.avi,06:41:48,06:46:12,4.40,06:30 - 07:00,13,1,0,136
D06_20250809064612.avi,06:46:12,07:13:14,27.04,06:30 - 07:00,13,50,22,158
D06_20250809064612.avi,06:46:12,07:13:14,27.04,07:00 - 07:30,14,50,13,171
D06_20250809071356.avi,07:13:56,07:24:33,10.62,07:00 - 07:30,14,5,2,173
D06_20250809072518.avi,07:25:18,07:27:03,1.76,07:00 - 07:30,14,1,0,173
D06_20250809072740.avi,07:27:40,07:32:04,4.40,07:00 - 07:30,14,4,1,174
D06_20250809072740.avi,07:27:40,07:32:04,4.40,07:30 - 08:00,15,4,3,177
D06_20250809073227.avi,07:32:27,07:36:24,3.96,07:30 - 08:00,15,1,1,178
