videoname,start_time,end_time,duration_minutes,time_range,split,original_count,processed_sum,cumilative_sum
D06_20250808000001.avi,00:00:01,00:18:03,18.04,00:00 - 00:30,0,15,11,11
D06_20250808001811.avi,00:18:11,00:34:30,16.33,00:00 - 00:30,0,16,8,19
D06_20250808001811.avi,00:18:11,00:34:30,16.33,00:30 - 01:00,1,16,5,24
D06_20250808003545.avi,00:35:45,00:36:55,1.17,00:30 - 01:00,1,0,0,24
D06_20250808003654.avi,00:36:54,00:39:25,2.52,00:30 - 01:00,1,1,1,25
D06_20250808004046.avi,00:40:46,00:54:00,13.24,00:30 - 01:00,1,7,9,34
D06_20250808005603.avi,00:56:03,00:57:51,1.80,00:30 - 01:00,1,1,1,35
D06_20250808005841.avi,00:58:41,01:03:42,5.02,00:30 - 01:00,1,2,1,36
D06_20250808005841.avi,00:58:41,01:03:42,5.02,01:00 - 01:30,2,2,0,36
D06_20250808010435.avi,01:04:35,01:09:01,4.44,01:00 - 01:30,2,2,1,37
D06_20250808010931.avi,01:09:31,01:12:44,3.22,01:00 - 01:30,2,1,0,37
D06_20250808011245.avi,01:12:45,01:19:07,6.38,01:00 - 01:30,2,3,2,39
D06_20250808012215.avi,01:22:15,01:26:04,3.82,01:00 - 01:30,2,3,2,41
D06_20250808012721.avi,01:27:21,01:30:01,2.67,01:00 - 01:30,2,2,1,42
D06_20250808013002.avi,01:30:02,01:32:09,2.13,01:30 - 02:00,3,1,0,42
D06_20250808013209.avi,01:32:09,01:42:46,10.63,01:30 - 02:00,3,6,5,47
D06_20250808014314.avi,01:43:14,01:45:13,1.99,01:30 - 02:00,3,0,0,47
D06_20250808014552.avi,01:45:52,01:48:52,3.00,01:30 - 02:00,3,0,0,47
D06_20250808014921.avi,01:49:21,01:58:19,8.98,01:30 - 02:00,3,9,8,55
D06_20250808015822.avi,01:58:22,02:01:41,3.32,01:30 - 02:00,3,2,0,55
D06_20250808015822.avi,01:58:22,02:01:41,3.32,02:00 - 02:30,4,2,0,55
D06_20250808020140.avi,02:01:40,02:07:31,5.85,02:00 - 02:30,4,2,1,56
D06_20250808020828.avi,02:08:28,02:09:34,1.11,02:00 - 02:30,4,0,0,56
D06_20250808020935.avi,02:09:35,02:12:18,2.72,02:00 - 02:30,4,0,0,56
D06_20250808021240.avi,02:12:40,02:13:49,1.16,02:00 - 02:30,4,0,0,56
D06_20250808021619.avi,02:16:19,02:20:50,4.53,02:00 - 02:30,4,10,7,63
D06_20250808022155.avi,02:21:55,02:23:44,1.82,02:00 - 02:30,4,1,0,63
D06_20250808022452.avi,02:24:52,02:32:17,7.43,02:00 - 02:30,4,5,2,65
D06_20250808022452.avi,02:24:52,02:32:17,7.43,02:30 - 03:00,5,5,1,66
D06_20250808023346.avi,02:33:46,02:36:42,2.94,02:30 - 03:00,5,0,0,66
D06_20250808023700.avi,02:37:00,02:41:37,4.63,02:30 - 03:00,5,2,1,67
D06_20250808024149.avi,02:41:49,02:45:11,3.38,02:30 - 03:00,5,2,1,68
D06_20250808024645.avi,02:46:45,02:47:54,1.16,02:30 - 03:00,5,0,0,68
D06_20250808025203.avi,02:52:03,02:55:31,3.47,02:30 - 03:00,5,2,1,69
D06_20250808025531.avi,02:55:31,02:55:49,0.30,02:30 - 03:00,5,0,0,69
D06_20250808025549.avi,02:55:49,03:00:21,4.54,02:30 - 03:00,5,5,6,75
D06_20250808030355.avi,03:03:55,03:06:10,2.26,03:00 - 03:30,6,1,0,75
D06_20250808031014.avi,03:10:14,03:12:48,2.57,03:00 - 03:30,6,0,0,75
D06_20250808031304.avi,03:13:04,03:16:55,3.86,03:00 - 03:30,6,4,5,80
D06_20250808031847.avi,03:18:47,03:19:54,1.12,03:00 - 03:30,6,0,0,80
D06_20250808031954.avi,03:19:54,03:24:41,4.79,03:00 - 03:30,6,0,0,80
D06_20250808032457.avi,03:24:57,03:26:43,1.77,03:00 - 03:30,6,1,0,80
D06_20250808032851.avi,03:28:51,03:31:39,2.80,03:00 - 03:30,6,2,0,80
D06_20250808032851.avi,03:28:51,03:31:39,2.80,03:30 - 04:00,7,2,0,80
D06_20250808033207.avi,03:32:07,03:38:18,6.19,03:30 - 04:00,7,3,2,82
D06_20250808033947.avi,03:39:47,03:40:54,1.12,03:30 - 04:00,7,0,0,82
D06_20250808034527.avi,03:45:27,03:48:03,2.61,03:30 - 04:00,7,2,1,83
D06_20250808035120.avi,03:51:20,03:53:48,2.47,03:30 - 04:00,7,1,0,83
D06_20250808035500.avi,03:55:00,04:08:21,13.36,03:30 - 04:00,7,7,2,85
D06_20250808035500.avi,03:55:00,04:08:21,13.36,04:00 - 04:30,8,7,4,89
D06_20250808040914.avi,04:09:14,04:11:48,2.57,04:00 - 04:30,8,1,1,90
D06_20250808041148.avi,04:11:48,04:13:51,2.06,04:00 - 04:30,8,1,1,91
D06_20250808041446.avi,04:14:46,04:15:54,1.14,04:00 - 04:30,8,0,0,91
D06_20250808041554.avi,04:15:54,04:18:53,2.99,04:00 - 04:30,8,1,1,92
D06_20250808042141.avi,04:21:41,04:24:54,3.22,04:00 - 04:30,8,1,1,93
D06_20250808042657.avi,04:26:57,04:30:11,3.24,04:00 - 04:30,8,1,1,94
D06_20250808043144.avi,04:31:44,04:32:53,1.16,04:30 - 05:00,9,0,0,94
D06_20250808043320.avi,04:33:20,04:36:27,3.13,04:30 - 05:00,9,1,0,94
D06_20250808043755.avi,04:37:55,04:54:36,16.69,04:30 - 05:00,9,21,18,112
D06_20250808045544.avi,04:55:44,04:56:54,1.17,04:30 - 05:00,9,0,0,112
D06_20250808050430.avi,05:04:30,05:07:46,3.28,05:00 - 05:30,10,1,0,112
D06_20250808050910.avi,05:09:10,05:16:41,7.52,05:00 - 05:30,10,4,2,114
D06_20250808051745.avi,05:17:45,05:18:53,1.14,05:00 - 05:30,10,0,0,114
D06_20250808052024.avi,05:20:24,05:23:22,2.98,05:00 - 05:30,10,0,0,114
D06_20250808052336.avi,05:23:36,05:28:32,4.94,05:00 - 05:30,10,6,3,117
D06_20250808052946.avi,05:29:46,05:33:29,3.72,05:30 - 06:00,11,3,3,120
D06_20250808053336.avi,05:33:36,05:38:07,4.53,05:30 - 06:00,11,0,0,120
D06_20250808053946.avi,05:39:46,05:40:55,1.15,05:30 - 06:00,11,0,0,120
