videoname,start_time,end_time,duration_minutes,time_range,split,original_count,processed_sum,cumilative_sum
D06_20250805000100.avi,00:01:00,00:26:58,25.98,00:00 - 00:30,0,16,13,13
D06_20250805002715.avi,00:27:15,00:30:42,3.45,00:00 - 00:30,0,1,0,13
D06_20250805003043.avi,00:30:43,00:38:53,8.17,00:30 - 01:00,1,7,7,20
D06_20250805004047.avi,00:40:47,00:41:54,1.13,00:30 - 01:00,1,0,0,20
D06_20250805004252.avi,00:42:52,00:53:43,10.85,00:30 - 01:00,1,10,10,30
D06_20250805005347.avi,00:53:47,00:59:37,5.84,00:30 - 01:00,1,6,6,36
D06_20250805010312.avi,01:03:12,01:06:25,3.23,01:00 - 01:30,2,0,0,36
D06_20250805010749.avi,01:07:49,01:10:32,2.72,01:00 - 01:30,2,0,0,36
D06_20250805011228.avi,01:12:28,01:43:28,31.01,01:00 - 01:30,2,34,28,64
D06_20250805011228.avi,01:12:28,01:43:28,31.01,01:30 - 02:00,3,34,9,73
D06_20250805014349.avi,01:43:49,01:50:43,6.91,01:30 - 02:00,3,5,2,75
D06_20250805015045.avi,01:50:45,01:55:30,4.75,01:30 - 02:00,3,4,2,77
D06_20250805015531.avi,01:55:31,02:10:50,15.33,01:30 - 02:00,3,20,3,80
D06_20250805015531.avi,01:55:31,02:10:50,15.33,02:00 - 02:30,4,20,12,92
D06_20250805021057.avi,02:10:57,02:19:13,8.27,02:00 - 02:30,4,13,11,103
D06_20250805022003.avi,02:20:03,02:24:56,4.89,02:00 - 02:30,4,4,3,106
D06_20250805022622.avi,02:26:22,02:28:16,1.90,02:00 - 02:30,4,3,2,108
D06_20250805022946.avi,02:29:46,02:30:22,0.60,02:00 - 02:30,4,0,0,108
D06_20250805023022.avi,02:30:22,02:30:55,0.55,02:30 - 03:00,5,0,0,108
D06_20250805023059.avi,02:30:59,02:37:31,6.54,02:30 - 03:00,5,6,6,114
D06_20250805024204.avi,02:42:04,02:48:40,6.60,02:30 - 03:00,5,5,4,118
D06_20250805024841.avi,02:48:41,02:54:36,5.92,02:30 - 03:00,5,3,3,121
D06_20250805025534.avi,02:55:34,03:01:52,6.31,02:30 - 03:00,5,5,4,125
D06_20250805025534.avi,02:55:34,03:01:52,6.31,03:00 - 03:30,6,5,0,125
D06_20250805030454.avi,03:04:54,03:07:28,2.57,03:00 - 03:30,6,1,0,125
D06_20250805031943.avi,03:19:43,03:23:26,3.73,03:00 - 03:30,6,4,4,129
D06_20250805032445.avi,03:24:45,03:28:31,3.78,03:00 - 03:30,6,3,2,131
D06_20250805032947.avi,03:29:47,03:32:57,3.18,03:30 - 04:00,7,2,1,132
D06_20250805033302.avi,03:33:02,03:36:36,3.58,03:30 - 04:00,7,4,3,135
D06_20250805033747.avi,03:37:47,03:41:03,3.27,03:30 - 04:00,7,1,0,135
D06_20250805034349.avi,03:43:49,03:46:01,2.20,03:30 - 04:00,7,0,0,135
D06_20250805034716.avi,03:47:16,03:52:27,5.19,03:30 - 04:00,7,2,1,136
D06_20250805035328.avi,03:53:28,03:57:12,3.74,03:30 - 04:00,7,2,1,137
D06_20250805035714.avi,03:57:14,04:00:11,2.95,03:30 - 04:00,7,1,0,137
