videoname,start_time,end_time,duration_minutes,time_range,split,original_count,processed_sum,cumilative_sum
D06_20250810070332.avi,07:03:32,07:15:50,12.30,07:00 - 07:30,14,9,7,48
D06_20250810071656.avi,07:16:56,07:19:29,2.56,07:00 - 07:30,14,1,0,48
D06_20250810072045.avi,07:20:45,07:26:09,5.40,07:00 - 07:30,14,1,0,48
D06_20250810072832.avi,07:28:32,07:31:42,3.18,07:30 - 08:00,15,1,1,49
D06_20250810073246.avi,07:32:46,07:36:01,3.25,07:30 - 08:00,15,1,1,50
D06_20250810073713.avi,07:37:13,07:40:26,3.22,07:30 - 08:00,15,1,1,51
D06_20250810074823.avi,07:48:23,07:51:20,2.96,07:30 - 08:00,15,0,0,51
D06_20250810075122.avi,07:51:22,07:54:37,3.25,07:30 - 08:00,15,1,1,52
D06_20250810075516.avi,07:55:16,07:57:06,1.84,07:30 - 08:00,15,0,0,52
D06_20250810075707.avi,07:57:07,07:59:02,1.92,07:30 - 08:00,15,1,1,53
D06_20250810075903.avi,07:59:03,08:00:52,1.82,07:30 - 08:00,15,2,1,54
D06_20250810075903.avi,07:59:03,08:00:52,1.82,08:00 - 08:30,16,2,0,54
D06_20250810081401.avi,08:14:01,08:17:20,3.33,08:00 - 08:30,16,2,2,56
D06_20250810081722.avi,08:17:22,08:19:17,1.92,08:00 - 08:30,16,0,0,56
D06_20250810082107.avi,08:21:07,08:29:28,8.35,08:00 - 08:30,16,5,4,60
D06_20250810083045.avi,08:30:45,08:31:51,1.10,08:30 - 09:00,17,0,0,60
D06_20250810083149.avi,08:31:49,08:34:02,2.22,08:30 - 09:00,17,0,0,60
D06_20250810083416.avi,08:34:16,08:38:01,3.76,08:30 - 09:00,17,1,1,61
D06_20250810083944.avi,08:39:44,08:40:53,1.15,08:30 - 09:00,17,0,0,61
D06_20250810084712.avi,08:47:12,08:52:01,4.83,08:30 - 09:00,17,2,2,63
D06_20250810085218.avi,08:52:18,08:55:47,3.49,08:30 - 09:00,17,0,0,63
D06_20250810085644.avi,08:56:44,08:57:53,1.15,08:30 - 09:00,17,0,0,63
D06_20250810085839.avi,08:58:39,09:06:19,7.67,08:30 - 09:00,17,3,1,64
D06_20250810085839.avi,08:58:39,09:06:19,7.67,09:00 - 09:30,18,3,2,66
D06_20250810090630.avi,09:06:30,09:09:37,3.13,09:00 - 09:30,18,1,1,67
D06_20250810091004.avi,09:10:04,09:12:04,2.01,09:00 - 09:30,18,0,0,67
D06_20250810091202.avi,09:12:02,09:16:40,4.64,09:00 - 09:30,18,2,2,69
D06_20250810092638.avi,09:26:38,09:35:16,8.64,09:00 - 09:30,18,4,2,71
D06_20250810092638.avi,09:26:38,09:35:16,8.64,09:30 - 10:00,19,4,1,72
D06_20250810093521.avi,09:35:21,09:41:27,6.10,09:30 - 10:00,19,7,5,77
D06_20250810094248.avi,09:42:48,09:45:09,2.35,09:30 - 10:00,19,0,0,77
D06_20250810094956.avi,09:49:56,09:52:10,2.24,09:30 - 10:00,19,0,0,77
D06_20250810095536.avi,09:55:36,09:58:37,3.02,09:30 - 10:00,19,2,1,78
D06_20250810095944.avi,09:59:44,10:04:13,4.49,10:00 - 10:30,20,1,0,78
D06_20250810100545.avi,10:05:45,10:09:24,3.65,10:00 - 10:30,20,1,0,78
D06_20250810100926.avi,10:09:26,10:16:27,7.02,10:00 - 10:30,20,6,5,83
D06_20250810101629.avi,10:16:29,10:18:39,2.18,10:00 - 10:30,20,0,0,83
D06_20250810101945.avi,10:19:45,10:20:52,1.12,10:00 - 10:30,20,0,0,83
D06_20250810102506.avi,10:25:06,10:28:24,3.31,10:00 - 10:30,20,1,0,83
D06_20250810102910.avi,10:29:10,10:33:23,4.22,10:30 - 11:00,21,2,1,84
D06_20250810103443.avi,10:34:43,10:35:53,1.17,10:30 - 11:00,21,0,0,84
D06_20250810104059.avi,10:40:59,10:43:37,2.64,10:30 - 11:00,21,1,0,84
D06_20250810104750.avi,10:47:50,10:51:00,3.17,10:30 - 11:00,21,1,0,84
D06_20250810105134.avi,10:51:34,11:06:34,15.01,10:30 - 11:00,21,18,10,94
D06_20250810105134.avi,10:51:34,11:06:34,15.01,11:00 - 11:30,22,18,4,98
D06_20250810110654.avi,11:06:54,11:10:16,3.37,11:00 - 11:30,22,13,8,106
D06_20250810111636.avi,11:16:36,11:19:21,2.76,11:00 - 11:30,22,0,0,106
D06_20250810112604.avi,11:26:04,11:29:02,2.97,11:00 - 11:30,22,0,0,106
D06_20250810113151.avi,11:31:51,11:34:39,2.80,11:30 - 12:00,23,0,0,106
D06_20250810113545.avi,11:35:45,11:36:52,1.13,11:30 - 12:00,23,0,0,106
D06_20250810113749.avi,11:37:49,11:41:49,4.01,11:30 - 12:00,23,2,5,111
D06_20250810114518.avi,11:45:18,11:47:30,2.21,11:30 - 12:00,23,0,0,111
D06_20250810114843.avi,11:48:43,11:52:42,3.99,11:30 - 12:00,23,2,5,116
D06_20250810115359.avi,11:53:59,11:56:57,2.98,11:30 - 12:00,23,0,0,116
D06_20250810120829.avi,12:08:29,12:13:10,4.69,12:00 - 12:30,24,1,0,116
D06_20250810121418.avi,12:14:18,12:26:15,11.95,12:00 - 12:30,24,9,5,121
D06_20250810122744.avi,12:27:44,12:28:52,1.14,12:00 - 12:30,24,0,0,121
D06_20250810122859.avi,12:28:59,12:31:17,2.31,12:30 - 13:00,25,1,1,122
D06_20250810123118.avi,12:31:18,12:35:12,3.91,12:30 - 13:00,25,1,1,123
D06_20250810125325.avi,12:53:25,12:55:16,1.85,12:30 - 13:00,25,1,1,124
D06_20250810125551.avi,12:55:51,13:02:57,7.11,12:30 - 13:00,25,5,4,128
D06_20250810125551.avi,12:55:51,13:02:57,7.11,13:00 - 13:30,26,5,2,130
D06_20250810130512.avi,13:05:12,13:09:36,4.41,13:00 - 13:30,26,0,0,130
D06_20250810130938.avi,13:09:38,13:12:49,3.19,13:00 - 13:30,26,1,1,131
D06_20250810131357.avi,13:13:57,13:20:28,6.53,13:00 - 13:30,26,2,2,133
D06_20250810132032.avi,13:20:32,13:22:42,2.17,13:00 - 13:30,26,0,0,133
D06_20250810132241.avi,13:22:41,13:38:37,15.94,13:00 - 13:30,26,18,10,143
D06_20250810132241.avi,13:22:41,13:38:37,15.94,13:30 - 14:00,27,18,8,151
D06_20250810133843.avi,13:38:43,13:44:35,5.87,13:30 - 14:00,27,6,4,155
D06_20250810134436.avi,13:44:36,13:51:03,6.46,13:30 - 14:00,27,4,2,157
D06_20250810135107.avi,13:51:07,14:06:02,14.93,13:30 - 14:00,27,23,10,167
D06_20250810135107.avi,13:51:07,14:06:02,14.93,14:00 - 14:30,28,23,6,173
D06_20250810140611.avi,14:06:11,14:18:56,12.76,14:00 - 14:30,28,8,6,179
D06_20250810141907.avi,14:19:07,14:21:53,2.77,14:00 - 14:30,28,2,1,180
D06_20250810142153.avi,14:21:53,14:24:44,2.86,14:00 - 14:30,28,2,1,181
D06_20250810142719.avi,14:27:19,14:32:30,5.19,14:00 - 14:30,28,5,2,183
D06_20250810142719.avi,14:27:19,14:32:30,5.19,14:30 - 15:00,29,5,2,185
D06_20250810143242.avi,14:32:42,14:35:29,2.79,14:30 - 15:00,29,1,1,186
D06_20250810143644.avi,14:36:44,14:37:52,1.14,14:30 - 15:00,29,0,0,186
D06_20250810143829.avi,14:38:29,14:41:29,3.01,14:30 - 15:00,29,2,2,188
D06_20250810144227.avi,14:42:27,14:48:29,6.04,14:30 - 15:00,29,9,12,200
D06_20250810144831.avi,14:48:31,14:51:27,2.94,14:30 - 15:00,29,1,1,201
D06_20250810145246.avi,14:52:46,14:53:52,1.10,14:30 - 15:00,29,0,0,201
D06_20250810145413.avi,14:54:13,14:56:34,2.36,14:30 - 15:00,29,1,1,202
D06_20250810145753.avi,14:57:53,15:00:35,2.70,14:30 - 15:00,29,1,1,203
D06_20250810150036.avi,15:00:36,15:03:34,2.98,15:00 - 15:30,30,1,0,203
D06_20250810150433.avi,15:04:33,15:09:39,5.11,15:00 - 15:30,30,3,2,205
D06_20250810151039.avi,15:10:39,15:14:03,3.40,15:00 - 15:30,30,3,2,207
D06_20250810151419.avi,15:14:19,15:16:36,2.29,15:00 - 15:30,30,1,0,207
D06_20250810151743.avi,15:17:43,15:18:52,1.16,15:00 - 15:30,30,0,0,207
D06_20250810151852.avi,15:18:52,15:19:59,1.13,15:00 - 15:30,30,0,0,207
D06_20250810152422.avi,15:24:22,15:31:49,7.45,15:00 - 15:30,30,3,1,208
D06_20250810152422.avi,15:24:22,15:31:49,7.45,15:30 - 16:00,31,3,0,208
D06_20250810153425.avi,15:34:25,15:38:26,4.03,15:30 - 16:00,31,3,2,210
D06_20250810154011.avi,15:40:11,15:45:50,5.65,15:30 - 16:00,31,4,4,214
D06_20250810154552.avi,15:45:52,15:51:18,5.44,15:30 - 16:00,31,3,2,216
D06_20250810155120.avi,15:51:20,15:52:12,0.88,15:30 - 16:00,31,0,0,216
D06_20250810155212.avi,15:52:12,15:56:10,3.98,15:30 - 16:00,31,2,1,217
D06_20250810155634.avi,15:56:34,15:58:23,1.83,15:30 - 16:00,31,1,0,217
D06_20250810160431.avi,16:04:31,16:09:52,5.36,16:00 - 16:30,32,2,2,219
D06_20250810161038.avi,16:10:38,16:13:14,2.61,16:00 - 16:30,32,1,1,220
D06_20250810161443.avi,16:14:43,16:15:52,1.15,16:00 - 16:30,32,0,0,220
D06_20250810161553.avi,16:15:53,16:20:06,4.22,16:00 - 16:30,32,0,0,220
D06_20250810162442.avi,16:24:42,16:27:58,3.28,16:00 - 16:30,32,1,1,221
D06_20250810163001.avi,16:30:01,16:32:18,2.29,16:30 - 17:00,33,0,0,221
D06_20250810163338.avi,16:33:38,16:37:11,3.56,16:30 - 17:00,33,2,2,223
D06_20250810163843.avi,16:38:43,16:39:50,1.13,16:30 - 17:00,33,0,0,223
D06_20250810164235.avi,16:42:35,16:44:45,2.17,16:30 - 17:00,33,2,2,225
D06_20250810164835.avi,16:48:35,16:52:12,3.62,16:30 - 17:00,33,4,4,229
D06_20250810165319.avi,16:53:19,16:56:31,3.21,16:30 - 17:00,33,0,0,229
D06_20250810165658.avi,16:56:58,16:59:27,2.49,16:30 - 17:00,33,1,0,229
D06_20250810165927.avi,16:59:27,17:01:12,1.76,16:30 - 17:00,33,4,0,229
D06_20250810165927.avi,16:59:27,17:01:12,1.76,17:00 - 17:30,34,4,2,231
D06_20250810170342.avi,17:03:42,17:08:49,5.13,17:00 - 17:30,34,5,3,234
D06_20250810171354.avi,17:13:54,17:15:40,1.78,17:00 - 17:30,34,0,0,234
D06_20250810171540.avi,17:15:40,17:19:02,3.38,17:00 - 17:30,34,1,0,234
D06_20250810171904.avi,17:19:04,17:32:56,13.87,17:00 - 17:30,34,11,6,240
D06_20250810171904.avi,17:19:04,17:32:56,13.87,17:30 - 18:00,35,11,1,241
D06_20250810173512.avi,17:35:12,17:38:12,3.00,17:30 - 18:00,35,1,0,241
D06_20250810173813.avi,17:38:13,17:41:01,2.81,17:30 - 18:00,35,1,0,241
D06_20250810174102.avi,17:41:02,17:49:26,8.41,17:30 - 18:00,35,9,13,254
D06_20250810175044.avi,17:50:44,17:51:52,1.14,17:30 - 18:00,35,0,0,254
D06_20250810175236.avi,17:52:36,17:55:34,2.98,17:30 - 18:00,35,0,0,254
D06_20250810175858.avi,17:58:58,18:00:45,1.79,17:30 - 18:00,35,1,0,254
D06_20250810180142.avi,18:01:42,18:02:51,1.15,18:00 - 18:30,36,0,0,254
D06_20250810180545.avi,18:05:45,18:08:47,3.04,18:00 - 18:30,36,1,0,254
D06_20250810180856.avi,18:08:56,18:11:39,2.73,18:00 - 18:30,36,0,0,254
D06_20250810181140.avi,18:11:40,18:13:52,2.21,18:00 - 18:30,36,0,0,254
D06_20250810181443.avi,18:14:43,18:17:26,2.72,18:00 - 18:30,36,1,0,254
D06_20250810181726.avi,18:17:26,18:21:50,4.40,18:00 - 18:30,36,3,3,257
D06_20250810182152.avi,18:21:52,18:22:32,0.68,18:00 - 18:30,36,0,0,257
D06_20250810182332.avi,18:23:32,18:26:19,2.79,18:00 - 18:30,36,1,0,257
D06_20250810182742.avi,18:27:42,18:28:53,1.19,18:00 - 18:30,36,0,0,257
D06_20250810183942.avi,18:39:42,18:45:00,5.31,18:30 - 19:00,37,3,2,259
D06_20250810184627.avi,18:46:27,18:49:00,2.55,18:30 - 19:00,37,1,0,259
D06_20250810184930.avi,18:49:30,18:53:29,3.99,18:30 - 19:00,37,1,0,259
D06_20250810185332.avi,18:53:32,18:56:11,2.66,18:30 - 19:00,37,2,2,261
D06_20250810185610.avi,18:56:10,19:03:41,7.53,18:30 - 19:00,37,6,2,263
D06_20250810185610.avi,18:56:10,19:03:41,7.53,19:00 - 19:30,38,6,1,264
D06_20250810190748.avi,19:07:48,19:10:04,2.27,19:00 - 19:30,38,0,0,264
D06_20250810191121.avi,19:11:21,19:15:55,4.57,19:00 - 19:30,38,2,1,265
D06_20250810191743.avi,19:17:43,19:18:52,1.16,19:00 - 19:30,38,0,0,265
D06_20250810191959.avi,19:19:59,19:24:56,4.95,19:00 - 19:30,38,1,0,265
D06_20250810194000.avi,19:40:00,19:42:36,2.61,19:30 - 20:00,39,1,3,268
D06_20250810200143.avi,20:01:43,20:11:46,10.06,20:00 - 20:30,40,3,4,272
D06_20250810201221.avi,20:12:21,20:15:00,2.65,20:00 - 20:30,40,1,0,272
D06_20250810201529.avi,20:15:29,20:19:54,4.43,20:00 - 20:30,40,3,4,276
D06_20250810202020.avi,20:20:20,20:29:29,9.16,20:00 - 20:30,40,4,6,282
D06_20250810203843.avi,20:38:43,20:44:36,5.89,20:30 - 21:00,41,3,1,283
D06_20250810204437.avi,20:44:37,20:48:49,4.20,20:30 - 21:00,41,3,1,284
D06_20250810204942.avi,20:49:42,20:50:51,1.16,20:30 - 21:00,41,0,0,284
D06_20250810205052.avi,20:50:52,21:39:28,48.60,20:30 - 21:00,41,52,6,290
